lon,lat,value
1.200000000000000000e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.200300000000000011e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.200600000000000023e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.200900000000000034e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.201200000000000045e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.201500000000000057e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.201800000000000068e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.202099999999999937e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.202399999999999949e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.202699999999999960e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.202999999999999972e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.203299999999999983e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.203599999999999994e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.203900000000000006e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.204200000000000159e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.204500000000000171e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.204800000000000182e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.205100000000000193e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.205400000000000205e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.205700000000000216e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.206000000000000227e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.206300000000000239e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.206600000000000392e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.206900000000000404e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.207200000000000415e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.207500000000000426e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.207800000000000438e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.208100000000000449e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.208400000000000460e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.208700000000000330e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.209000000000000341e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.209300000000000352e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.209600000000000364e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.209900000000000375e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.210200000000000387e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.210500000000000398e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.210800000000000409e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.211100000000000421e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.211400000000000432e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.211700000000000443e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.212000000000000455e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.212300000000000466e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.212600000000000335e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.212900000000000347e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.213200000000000358e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.213500000000000369e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.213800000000000381e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.214100000000000392e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.214400000000000404e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.214700000000000557e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.215000000000000568e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.215300000000000580e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.215600000000000591e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.215900000000000603e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.216200000000000614e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.216500000000000625e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.216800000000000637e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.217100000000000648e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.217400000000000801e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.217700000000000813e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.218000000000000824e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.218300000000000836e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.218600000000000847e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.218900000000000858e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.219200000000000870e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.219500000000000739e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.219800000000000750e+02,2.544999999999999929e+01,-9.990000000000000000e+02
1.200000000000000000e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.200300000000000011e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.200600000000000023e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.200900000000000034e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.201200000000000045e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.201500000000000057e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.201800000000000068e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.202099999999999937e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.202399999999999949e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.202699999999999960e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.202999999999999972e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.203299999999999983e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.203599999999999994e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.203900000000000006e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.204200000000000159e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.204500000000000171e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.204800000000000182e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.205100000000000193e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.205400000000000205e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.205700000000000216e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.206000000000000227e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.206300000000000239e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.206600000000000392e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.206900000000000404e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.207200000000000415e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.207500000000000426e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.207800000000000438e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.208100000000000449e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.208400000000000460e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.208700000000000330e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.209000000000000341e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.209300000000000352e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.209600000000000364e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.209900000000000375e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.210200000000000387e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.210500000000000398e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.210800000000000409e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.211100000000000421e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.211400000000000432e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.211700000000000443e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.212000000000000455e+02,2.542000000000000171e+01,-9.990000000000000000e+02
1.212300000000000466e+02,2.542000000000000171e+01,-9.990000000000000000e+02
